species,tribe,body_PC1,body_PC2,LPJ_PC1,LPJ_PC2,UOJ_PC1,UOJ_PC2,d13C,d15N
Neomux,lampr,-0.00539776837246341,-0.00677909232892217,0.0945907726445482,-0.0397708788960271,0.00492383712917325,0.0120603560777534,-16.421281645,6.7155008126
Neonig,lampr,0.0138703318184658,-0.0208376444555386,0.053094912030155,0.0396337462886392,0.0191910681362434,-0.00800921254865062,-19.751844751,7.1598761863
Neonve,lampr,0.0477523513681593,-0.00330013708572545,0.0725652951418637,0.0306884247768363,0.0117368409874252,0.0053080636252339,-20.540506395,7.88137305375
Neoobs,lampr,-0.00477011386518763,-0.0308957368317619,0.0239368055922932,0.0295767176272059,0.034736693615649,-0.0151766250658114,-20.67537555,7.5215844407
Neooli,lampr,0.00232230965773561,-0.00986623945884301,0.0430608879369586,0.0232649853056827,0.0091823582165846,0.00215118410312133,-22.025032118,5.7440560751
Neopec,lampr,0.0535374127205542,0.0294155027330967,0.0869613780643912,0.0240428656627228,0.00512188019739464,0.00870495868427705,-20.338985828,6.5930405276
Neopet,lampr,-0.0100272492365794,0.021234788747892,0.104859342332209,-0.0100469945740201,0.000895236348451088,-0.00296727011681281,-14.1875192,6.9077757649
Neople,lampr,0.0343192469639353,0.0114829027705499,-0.0119545600214093,0.119337950225897,-0.00292317148357149,-0.0157128231083779,-19.8912520525,8.89202021075
Neopro,lampr,-0.00157982116393692,-0.0505069657170996,0.0208899157001971,0.0387279717543134,0.0579923793235041,-0.00159227337696807,-18.436621906,7.4861155845
Neopul,lampr,-0.0114865308568666,-0.0153873581771334,0.0466246924569277,0.0191188319298942,0.01264749767112,-0.00137681994593328,-20.974341298,6.421560198
Neosav,lampr,-0.00775126088419344,-0.0279809042689441,0.0119412090770924,0.0203126279123456,0.0229014955911458,-0.00584491614029305,-18.525901943,6.8621952962
Neosex,lampr,-0.0207955994498945,-0.0366476167318847,0.0588253924691905,-0.00630017155406982,0.0187656046875331,-0.0126002688344989,-16.656257613,6.7921226653
Neosim,lampr,0.00765562608251137,-0.0264840107619715,0.0301190264544911,0.0815825073289962,0.00822171048607435,-0.00903627405496687,-22.417723948,5.314133353
Neospl,lampr,-0.00448146382596605,-0.0175115653467019,0.0239890998652711,0.0312456180272054,0.0146053733318397,-0.00706377585149703,-19.637577073,6.4183156622
Neotet,lampr,0.011970959425539,0.00897394290753867,0.0281920407800146,0.0429557091209474,0.00797412921688402,0.00381109906011234,-15.947125618,6.901891405
Neotim,lampr,0.0427496142709912,0.0137078418598578,0.0124430849301629,0.0646773412398524,0.0148727971888969,-0.000359810532143757,-18.744256178,6.8559593362
Neotoa,lampr,-0.00775237372292937,-0.0387934843046841,0.0496023112063324,-0.0194445607978043,0.0223076904009868,-0.00891364354578146,-18.062619597,6.6387615225
Neotre,lampr,-0.0126878676557991,-0.0108756595054425,0.125709589482418,0.00626006114694582,0.0139219370596033,0.00417435656359108,-16.701003734,6.1092506046
NeoveB,lampr,0.019428474986047,-0.0238746657831749,0.00376360728414614,0.0585320001329218,0.0149601346194604,-0.00314256774227617,-21.0990311566667,8.30498312
NeoveS,lampr,0.0144572861568663,-0.0167560749677521,0.0228687976382658,0.029081729818509,0.015438058337534,-0.00568081699698385,-20.6442703871429,7.955197662
Neowal,lampr,0.00190779428562611,-0.00883806191806988,0.0511345233236451,-0.0115521720297479,0.00969804007631653,-0.00485594336093004,-20.89217759,6.3708303817
Ophboo,ectod,-0.0232594238537666,-0.0154768535635334,0.0402363763686281,-0.0793831486601693,-0.0167041188719821,0.000215495639635749,-13.300530054,5.8669576503
Ophhet,ectod,-0.0170452681532812,-0.00822282883211222,NA,NA,-0.011753977705814,0.00778283899601124,NA,NA
Ophnas,ectod,-0.0219413336090228,-0.0177704290884119,0.0401654044678169,-0.101377680038965,-0.0115807852850695,0.000115328875364189,-17.34545847,6.5838192842
Ophpar,ectod,-0.00924784035962156,-0.0101982932056648,0.0508728818206671,-0.0963220457446587,-0.0129341905373667,0.000130395365164807,-14.673392701,6.4777925128
Ophven,ectod,-0.0217823600561926,-0.0268837379040381,0.0352827275165048,-0.0674589461117577,-0.0103583977998184,-0.00545276906459988,-17.733790721,5.7012493146
